Accident_Index,Casualty_Reference,Date,Casualty_Severity,Casualty_Type_Category,Location_Easting_OSGR,Location_Northing_OSGR
201114K048011,1,2011-02-17,Slight,Pedestrian,433050,390640
201114K048311,1,2011-02-20,Slight,Car,433140,392460
201114K048611,1,2011-02-18,Slight,Car,442840,385240
201114K048711,1,2011-02-20,Slight,Car,426800,387290
201114K049111,1,2011-02-21,Slight,Car,439130,388980
201114K049411,1,2011-02-21,Slight,Car,439300,387580
201114K049811,1,2011-02-22,Slight,Pedal Cycle,435210,386050
201114K049911,1,2011-02-20,Slight,Car,432450,393420
201114K050011,1,2011-02-22,Slight,Car,438400,384890
201114K050011,2,2011-02-22,Slight,Car,438400,384890
201114K050011,3,2011-02-22,Slight,Car,438400,384890
201114K050311,1,2011-02-28,Slight,Car,440030,387330
201114K050411,1,2011-02-22,Slight,Car,436650,388410
201114K050411,2,2011-02-22,Slight,Car,436650,388410
201114K050711,1,2011-02-22,Slight,Car,435110,381210
201114K050911,1,2011-02-22,Serious,Motorcycle,435250,385900
201114K051111,1,2011-02-23,Slight,Car,438830,390440
201114K052011,1,2011-02-24,Slight,Car,434850,383620
201114K052011,3,2011-02-24,Slight,Car,434850,383620
201114K052011,2,2011-02-24,Serious,Car,434850,383620
201114K052211,1,2011-02-24,Slight,Car,435290,386750
201114K052511,1,2011-02-26,Slight,Car,438310,384930
201114K052711,1,2011-02-25,Serious,Car,434380,396210
201114K052811,1,2011-02-25,Slight,Pedestrian,435050,387280
201114K053411,1,2011-02-26,Slight,Motorcycle,437400,393500
201114K053611,1,2011-02-27,Slight,Pedestrian,434960,387230
201114K054011,1,2011-03-03,Serious,Pedestrian,433430,390400
201114K054611,1,2011-02-26,Slight,Pedal Cycle,433060,385280
201114K054811,1,2011-02-18,Slight,Car,439240,391940
201114K054811,2,2011-02-18,Slight,Car,439240,391940
201114K054911,1,2011-02-26,Slight,Car,440260,391140
201114K054911,2,2011-02-26,Slight,Car,440260,391140
201114K054911,3,2011-02-26,Slight,Car,440260,391140
